name;alternate_url;id;from;to;employer_name;schedule;employment;experience;key_skills
Java-программист (интеграция со сторонними системами);https://hh.ru/vacancy/31483610;31483610;115000;115000;Программные решения Антилл;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'ООП'}, {'name': 'Java'}, {'name': 'Git'}, {'name': 'SVN'}]
Python Developer;https://hh.ru/vacancy/30505061;30505061;92000;138000;АпТрейдер (UpTrader);Полный день;Полная занятость;От 3 до 6 лет;[]
Разработчик мобильных приложений для Android и iOS;https://hh.ru/vacancy/31600404;31600404;69000;138000;СП.АРМ;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Android'}, {'name': 'iOS'}, {'name': 'Git'}, {'name': 'Java'}, {'name': 'Kotlin'}, {'name': 'API'}, {'name': 'ООП'}]
Бухгалтер по расчету заработной платы;https://hh.ru/vacancy/31658221;31658221;40000;45000;ДОСТАЕВСКИЙ;Полный день;Полная занятость;От 1 года до 3 лет;[]
Ведущий Java-разработчик (Senior);https://hh.ru/vacancy/31300041;31300041;230000;230000;Смарт Лайн;Гибкий график;Полная занятость;От 3 до 6 лет;[]
Водитель-курьер в службу доставки;https://hh.ru/vacancy/31051090;31051090;46000;46000;Lamoda;Сменный график;Полная занятость;Нет опыта;[]
Специалист отдела контроля качества;https://hh.ru/vacancy/31308955;31308955;57000;69000;МИТ КИНГ;Полный день;Полная занятость;От 3 до 6 лет;[]
Программист (в г. Сочи);https://hh.ru/vacancy/31657725;31657725;69000;98000;АБС-АВТО СОЧИ;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': '1С программирование'}, {'name': '1С: Бухгалтерия'}, {'name': '1С: Зарплата и управление персоналом'}, {'name': '1C: Бухгалтерия'}, {'name': '1С: Зарплата и кадры'}, {'name': 'Пользователь ПК'}, {'name': 'Ведение переговоров'}, {'name': 'Бухгалтерский учет'}, {'name': '1С: Комплексная автоматизация'}, {'name': '1С: Торговля и склад'}]
Консультант-эксперт эксклюзивных марок косметики (уход люкс);https://hh.ru/vacancy/29734289;29734289;52000;52000;РИВ ГОШ, Сеть магазинов;Полный день;Полная занятость;От 1 года до 3 лет;[]
Ночной администратор стойки приёма и размещения;https://hh.ru/vacancy/31483060;31483060;0;46000;Valka Hotels Group;Сменный график;Полная занятость;От 1 года до 3 лет;[]
